CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
1546870,771087,17375,1,California Institute of Technology,122411786.0,-1,1973,34,10,0,1,0,0,261,1939.0,3.2625,48143,601.7875,127,1.5875,-1.0,0,0,0,0.0,0.0,1973.0,34.0,15,0
1546881,771092,3211,1,Ludwig-Maximilians-Universität München,8204097.0,-1,1909,40,8,0,1,0,0,121,1891.0,0.968,7047,56.376,36,0.288,-1.0,0,0,0,0.0,0.0,1909.0,18.0,4,0
1547007,349108,76788,1,University of Cambridge,241749.0,-1,1963,2,2,0,-1,1,0,188,1955.0,3.357142857142857,15077,269.23214285714283,74,1.3214285714285714,1961.0,13,38297,7,6.6,873.5166666666667,1961.0,8.0,13,1
1547017,771117,263785,1,Johns Hopkins University,145311948.0,-1,1989,2,2,4,-1,1,1,971,1974.0,20.229166666666668,127314,2652.375,1176,24.5,1987.0,30,1887,60,29.085714285714285,1394.1142857142856,1987.0,15.0,49,13
1547139,437593,771160,1,Università degli Studi di Perugia,,-1,1989,1,1,4,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1985.0,8,258,11,6.324324324324325,48.83783783783784,1985.0,-1.0,0,0
1547142,771166,2505,1,"University of California, Berkeley",95457486.0,-1,1969,8,4,0,-1,0,0,143,1946.0,2.9183673469387754,4952,101.06122448979592,263,5.36734693877551,-1.0,0,0,0,0.0,0.0,1969.0,23.0,20,0
1547229,771187,203387,1,Cornell University,205783295.0,-1,1981,13,2,0,-1,0,0,294,1969.0,6.25531914893617,8921,189.80851063829786,418,8.893617021276595,1984.0,5,21,9,3.0789473684210527,70.73684210526316,1981.0,12.0,25,0
1547307,771214,203387,1,Cornell University,205783295.0,-1,1993,13,2,0,-1,0,0,294,1969.0,6.25531914893617,8921,189.80851063829786,418,8.893617021276595,1993.0,1,27,5,1.0,27.0,1993.0,24.0,11,1
1547310,771215,203387,1,Cornell University,205783295.0,-1,1987,13,2,0,-1,0,0,294,1969.0,6.25531914893617,8921,189.80851063829786,418,8.893617021276595,1984.0,14,373,54,2.24,72.12,1984.0,18.0,33,1
1547315,770860,691732,1,Technische Universität München (TUM),62916508.0,-1,1975,1,1,2,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1975.0,-1.0,0,0
1547449,771261,226239,1,Iowa State University,173911158.0,-1,1989,20,3,0,-1,0,0,739,1977.0,16.42222222222222,42640,947.5555555555555,582,12.933333333333334,1986.0,9,88,8,3.2058823529411766,64.3529411764706,1986.0,12.0,59,9
1547455,771264,226239,1,Iowa State University,173911158.0,-1,1992,20,5,0,1,0,0,739,1977.0,16.42222222222222,42640,947.5555555555555,582,12.933333333333334,1991.0,1,0,1,1.0,0.0,1991.0,15.0,63,0
1547458,771265,226239,1,Iowa State University,173911158.0,-1,1994,20,8,0,1,0,0,739,1977.0,16.42222222222222,42640,947.5555555555555,582,12.933333333333334,1991.0,9,354,10,2.25,88.5,1991.0,17.0,70,8
1547487,771274,226239,1,Iowa State University,173911158.0,-1,1991,20,5,0,1,0,0,739,1977.0,16.42222222222222,42640,947.5555555555555,582,12.933333333333334,1989.0,3,48,2,1.5,24.0,1989.0,14.0,63,3
1547517,771284,770779,1,"Queen Mary and Westfield College, University of London",,-1,1995,2,2,2,-1,1,1,499,1977.0,11.088888888888889,24550,545.5555555555555,927,20.6,1996.0,42,4232,120,5.923076923076923,349.2692307692308,1995.0,18.0,57,0
1547561,615713,675676,1,"University of California, Los Angeles",161318765.0,1968,1973,3,3,0,-1,1,0,0,-1.0,0.0,0,0.0,0,0.0,2006.0,5,10,4,0.8,1.2,1973.0,-1.0,0,0
1547563,690892,771296,1,University of Cambridge,241749.0,-1,1987,2,1,3,0,1,1,185,1981.0,4.512195121951219,7144,174.2439024390244,288,7.024390243902439,-1.0,0,0,0,0.0,0.0,1987.0,6.0,6,0
1547716,771338,348899,1,"University of California, Davis",84218800.0,-1,1987,5,1,0,0,1,0,224,1974.0,4.76595744680851,10148,215.91489361702128,161,3.425531914893617,-1.0,0,0,0,0.0,0.0,1987.0,13.0,27,0
1547745,771348,771347,1,Univ. de Paris VI,,-1,1994,6,3,3,-1,1,1,27,1994.0,1.4210526315789473,1500,78.94736842105263,90,4.7368421052631575,1993.0,10,180,17,14.862068965517242,599.0,1993.0,0.0,2,1
1547757,768685,496694,1,Massachusetts Institute of Technology,63966007.0,1989,1992,3,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1992.0,-1.0,0,0
1547776,771353,235400,1,"University of Illinois, Urbana-Champaign",157725225.0,-1,1983,5,1,0,0,0,0,69,1974.0,1.725,3159,78.975,41,1.025,2017.0,2,2,12,2.0,2.0,1983.0,9.0,2,0
1547779,771354,235400,1,"University of Illinois, Urbana-Champaign",157725225.0,-1,1993,5,1,0,0,0,0,69,1974.0,1.725,3159,78.975,41,1.025,1992.0,11,661,10,7.133333333333334,160.13333333333333,1992.0,19.0,18,3
1547939,770950,771401,2,"École Normale Supérieure, Paris",29607241.0,1975,1976,1,1,7,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1976.0,6,79,5,1.7608695652173914,36.56521739130435,1976.0,-1.0,0,0
1547940,771401,747637,1,"École Normale Supérieure, Paris",29607241.0,-1,1965,1,1,1,0,1,1,5,1957.0,1.0,269,53.8,2,0.4,-1.0,0,0,0,0.0,0.0,1965.0,8.0,0,0
1547944,747636,70587,1,The University of Manchester,28407311.0,-1,1953,9,5,0,-1,1,0,0,-1.0,0.0,0,0.0,0,0.0,1949.0,7,217,2,1.3823529411764706,41.044117647058826,1949.0,-1.0,0,0
1548209,690882,717638,1,"Royal Holloway, University of London",184558857.0,-1,1969,1,1,1,0,1,1,84,1929.0,1.2352941176470589,1133,16.66176470588235,17,0.25,1976.0,7,25,6,12.886363636363637,1242.5227272727273,1969.0,40.0,10,0
1548359,771501,101309,1,,,-1,1988,15,3,1,-1,1,1,460,1976.0,10.0,15419,335.19565217391306,639,13.891304347826088,1984.0,15,1550,9,1.25,95.77777777777777,1984.0,12.0,76,15
1548362,384178,525995,1,Lawrence Livermore National Laboratory,1282311441.0,-1,1994,7,2,1,-1,1,1,201,1985.0,5.4324324324324325,7622,206.0,250,6.756756756756757,1992.0,3,67,9,3.769230769230769,91.3076923076923,1992.0,9.0,23,2
