CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
64431,32312,4836,2,University of Oxford,40120149.0,-1,1978,22,1,0,0,1,0,239,1974.0,4.979166666666667,74835,1559.0625,423,8.8125,1979.0,4,1710,3,3.4186046511627906,534.0465116279071,1978.0,4.0,10,0,1
64434,54496,4337,1,Rockefeller University,83399316.0,1965,1970,2,2,22,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1965.0,4,152,5,15.357142857142858,2320.642857142857,1965.0,-1.0,0,0,1
64436,54523,54289,1,"University of Illinois, Urbana-Champaign",157725225.0,-1,1995,45,4,0,1,0,0,729,1987.0,20.82857142857143,46421,1326.3142857142855,880,25.142857142857146,1992.0,7,398,14,2.2,74.1,1992.0,8.0,38,6,1
64446,54532,54531,1,University of Heidelberg,,-1,1927,2,1,2,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1916.0,1,716,4,2.5660377358490565,819.7075471698113,1916.0,-1.0,0,0,1
64450,54537,52178,1,Massachusetts Institute of Technology,63966007.0,1955,1960,13,7,0,1,0,0,170,1940.0,2.3611111111111107,11798,163.86111111111111,127,1.7638888888888888,1961.0,7,400,11,1.5238095238095235,39.42857142857143,1960.0,20.0,31,0,1
64557,54599,1219,1,Stanford University,97018004.0,-1,1978,23,5,6,1,1,1,226,1954.0,3.373134328358209,70263,1048.7014925373137,335,5.0,1976.0,16,4923,19,7.913043478260869,1256.0,1976.0,24.0,35,5,1
64558,54598,54600,1,"University of Illinois, Urbana-Champaign",157725225.0,-1,1989,1,1,1,0,1,1,8,1983.0,0.8,324,32.4,5,0.5,1995.0,10,1250,13,2.5,312.5,1989.0,6.0,4,0,0
64598,54630,209,1,"University of California, Berkeley",95457486.0,1946,1949,12,5,0,1,0,0,74,1917.0,0.7326732673267327,20979,207.71287128712868,20,0.19801980198019808,1970.0,5,3312,4,5.0,3312.0,1949.0,32.0,14,0,0
64601,54632,50190,1,University of Pennsylvania,79576946.0,1974,1978,13,1,1,0,1,1,818,1974.0,17.041666666666668,106583,2220.4791666666665,1457,30.35416666666667,1976.0,11,3335,12,8.304347826086957,1448.195652173913,1976.0,4.0,17,10,1
64691,54697,15473,2,Novartis Institutes For Biomedical Research Inc,,1977,1980,4,2,0,-1,0,0,36,1954.0,0.6428571428571429,1441,25.732142857142854,24,0.42857142857142855,-1.0,0,0,0,0.0,0.0,1980.0,26.0,6,0,0
64709,54701,15473,1,Northeastern University,12912129.0,1979,1985,4,2,0,-1,0,0,36,1954.0,0.6428571428571429,1441,25.732142857142854,24,0.42857142857142855,1983.0,11,1050,21,7.3076923076923075,498.3076923076923,1983.0,31.0,3,1,1
64710,54702,15473,1,Northeastern University,12912129.0,1969,1974,4,1,0,0,0,0,36,1954.0,0.6428571428571429,1441,25.732142857142854,24,0.42857142857142855,1974.0,1,18,3,1.0,18.0,1974.0,20.0,12,1,0
64853,54807,37593,3,Stanford University,97018004.0,1961,1962,2,1,1,0,1,1,404,1946.0,5.690140845070423,30109,424.07042253521126,291,4.098591549295775,1899.0,1,0,3,5.4959349593495945,939.1463414634146,1899.0,16.0,28,0,1
64893,54833,15573,1,"University of Washington, Seattle",201448701.0,1984,1992,4,1,1,0,1,1,91,1975.0,2.0222222222222217,1335,29.66666666666667,99,2.2,1983.0,4,18,4,0.7142857142857143,17.071428571428573,1983.0,17.0,5,4,1
64953,54874,32434,1,University College London,45129253.0,1991,1995,2,1,2,0,1,1,48,1984.0,1.263157894736842,5714,150.3684210526316,40,1.0526315789473684,1995.0,17,1589,43,2.888888888888889,373.22222222222223,1995.0,11.0,9,2,1
64961,54879,322,1,"University of California, Berkeley",95457486.0,1988,1992,27,4,0,1,0,0,127,1969.0,2.3962264150943398,15282,288.33962264150944,129,2.4339622641509435,1994.0,4,464,3,1.3333333333333333,154.66666666666666,1992.0,23.0,18,1,0
64962,54879,1243,2,Harvard University,136199984.0,1992,1995,53,10,0,1,0,0,366,1958.0,5.630769230769231,51539,792.9076923076923,437,6.723076923076923,1994.0,4,464,3,1.3333333333333333,154.66666666666666,1994.0,37.0,45,2,0
