CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
1381797,714734,725293,1,Imperial College London,47508984.0,-1,1976,2,1,1,0,1,1,791,1950.0,11.3,10823,154.61428571428573,321,4.585714285714285,1976.0,9,298,13,7.608695652173912,416.9347826086956,1976.0,26.0,98,1,1
1381791,725293,33821,1,King's College London,183935753.0,-1,1951,22,10,1,1,1,1,89,1921.0,0.9270833333333334,6027,62.78125,56,0.5833333333333334,1950.0,20,227,7,11.3,154.61428571428573,1950.0,30.0,23,2,1
1746136,587808,80158,1,"University of Wisconsin, Madison",135310074.0,-1,1973,1,1,0,0,1,0,124,1963.0,2.2142857142857144,11363,202.91071428571428,129,2.3035714285714284,1997.0,1,18,3,0.2222222222222222,2.333333333333333,1973.0,10.0,12,0,0
1337459,273175,143969,1,Princeton University,20089843.0,1985,1989,18,2,4,-1,1,1,791,1960.0,12.758064516129034,77080,1243.225806451613,491,7.919354838709677,1987.0,11,573,13,8.514285714285714,355.0285714285714,1987.0,29.0,52,1,1
1381703,594962,714734,1,Grenoble 1,,-1,1992,1,1,1,0,1,1,350,1976.0,7.608695652173912,19179,416.9347826086956,726,15.782608695652176,2002.0,10,614,29,1.7,51.5,1992.0,16.0,33,0,1
1337480,273175,102234,2,University of Cambridge,241749.0,1989,1991,12,4,4,1,1,1,716,1965.0,12.56140350877193,54544,956.9122807017543,354,6.2105263157894735,1987.0,11,573,13,8.514285714285714,355.0285714285714,1987.0,26.0,101,2,1
1337481,273175,264269,2,Canadian Institute for Theoretical Astrophysics,,1991,1994,2,1,4,0,1,1,204,1993.0,7.5555555555555545,12270,454.4444444444445,376,13.925925925925926,1987.0,11,573,13,8.514285714285714,355.0285714285714,1987.0,1.0,5,0,1
1381693,577937,14775,1,Rice University,74775410.0,-1,1984,3,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1987.0,39,671,80,4.65625,65.34375,1984.0,-1.0,0,0,1
1381677,547680,685013,1,Rensselaer Polytechnic Institute,165799507.0,-1,1979,2,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1979.0,-1.0,0,0,0
1337586,179463,274000,1,Massachusetts Institute of Technology,63966007.0,-1,1980,3,2,1,-1,1,1,1,2018.0,1.0,3,3.0,0,0.0,1975.0,3,52,8,8.48936170212766,225.0851063829787,1975.0,-38.0,0,0,1
1337595,685815,687827,1,"University of California, Davis",84218800.0,-1,1981,1,1,0,0,0,0,162,1967.0,3.4468085106382977,3896,82.8936170212766,269,5.723404255319148,1987.0,3,71,9,1.5,35.5,1981.0,14.0,11,0,0
1337601,459893,377056,1,University of Cambridge,241749.0,-1,1970,6,4,1,-1,1,1,43,1933.0,0.5308641975308642,2923,36.086419753086425,24,0.2962962962962963,-1.0,0,0,0,0.0,0.0,1970.0,37.0,3,0,0
1381653,48554,3925,0,Delft University of Technology,98358874.0,-1,1950,5,3,1,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1990.0,1,0,3,1.0,0.0,1950.0,-1.0,0,0,0
1778241,837880,837883,1,Technische Universität München (TUM),62916508.0,-1,1984,5,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1990.0,1,13,4,0.75,6.65625,1984.0,-1.0,0,0,1
1381649,48552,725258,2,IBM Research,,1991,1993,1,1,5,0,1,1,334,1980.0,7.952380952380952,32939,784.2619047619047,249,5.928571428571429,1986.0,18,317,11,20.972222222222218,894.6111111111112,1986.0,13.0,30,6,1
1337813,703003,52593,1,Utrecht University,193662353.0,-1,1911,3,1,0,0,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1911.0,-1.0,0,0,0
