CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,TotalCitationOfMentee
1720721,821911,18772,1,"University of Maryland, College Park",66946132.0,-1,1984,16,3,0,-1,0,0,124,1982.0,3.1,6181,154.525,129,3.225,-1.0,0,0,0,0.0,0.0,1984.0,2.0,5,0,0
1720723,821912,18772,1,"University of Maryland, College Park",66946132.0,-1,1985,16,3,0,-1,0,0,124,1982.0,3.1,6181,154.525,129,3.225,-1.0,0,0,0,0.0,0.0,1985.0,3.0,9,0,0
1720898,647317,347666,1,"University of California, Berkeley",95457486.0,-1,1991,1,1,0,0,0,0,165,1970.0,3.235294117647059,9033,177.11764705882354,224,4.392156862745098,1991.0,14,631,11,2.3225806451612905,139.16129032258064,1991.0,21.0,29,6,4314
1721948,619125,394715,1,"University of California, Irvine",204250578.0,1984,1990,6,1,4,0,1,1,81,1967.0,1.7234042553191489,10234,217.74468085106383,99,2.106382978723404,1987.0,7,516,14,9.942857142857143,870.6571428571428,1987.0,23.0,15,5,30473
1721949,619125,175068,2,,,1990,1992,1,1,4,0,1,1,421,1972.0,8.42,59711,1194.22,563,11.26,1987.0,7,516,14,9.942857142857143,870.6571428571428,1987.0,20.0,40,4,30473
1722039,522666,822254,1,"Indiana University, Bloomington",592451.0,-1,1986,1,1,2,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1986.0,-1.0,0,0,0
1722040,522666,506941,1,"Indiana University, Bloomington",592451.0,-1,1986,1,1,2,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1986.0,-1.0,0,0,0
1722041,522666,273323,1,"Indiana University, Bloomington",592451.0,-1,1986,1,1,2,0,1,1,125,1970.0,2.5510204081632653,3243,66.18367346938776,79,1.6122448979591837,-1.0,0,0,0,0.0,0.0,1986.0,16.0,15,0,0
1722670,822357,20418,1,University of Birmingham (United Kingdom),79619799.0,1992,1995,1,1,0,0,0,0,1,1991.0,1.0,14,14.0,3,3.0,1998.0,6,777,18,0.38095238095238093,38.523809523809526,1995.0,4.0,0,0,809
1722671,822357,20416,1,University of Birmingham Medical School,,1992,1995,1,1,0,0,0,0,0,-1.0,0.0,0,0.0,0,0.0,1998.0,6,777,18,0.38095238095238093,38.523809523809526,1995.0,-1.0,0,0,809
