CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
35828,874,1674,1,Max-Planck Institute for Biological Cybernetics,,1989,1993,11,1,9,0,1,1,127,1958.0,2.351851851851852,8913,165.05555555555554,15,0.2777777777777778,1990.0,4,80,2,3.5,550.4375,1990.0,35.0,43,0
35849,9894,8331,3,Bielefeld University,20121455.0,1993,1993,6,1,1,0,1,1,252,1972.0,5.04,12427,248.54,117,2.34,1994.0,6,288,14,2.9285714285714284,101.39285714285714,1993.0,21.0,42,3
35854,25399,1335,1,Massachusetts Institute of Technology,63966007.0,-1,1995,21,3,0,-1,0,0,241,1978.0,5.604651162790698,76173,1771.4651162790694,216,5.023255813953488,-1.0,0,0,0,0.0,0.0,1995.0,17.0,32,0
35930,2315,1844,1,Washington University School of Medicine,,1978,1981,10,1,0,-1,0,0,100,1958.0,1.5625,3437,53.703125,154,2.40625,1982.0,2,422,2,1.0,211.0,1981.0,23.0,0,0
35964,25486,25488,1,The University of Nebraska - Lincoln,114395901.0,-1,1991,1,1,12,0,1,1,28,1983.0,0.7567567567567568,613,16.567567567567572,27,0.7297297297297297,1992.0,12,451,13,2.0714285714285716,117.17857142857143,1991.0,8.0,13,1
35968,25492,10204,1,University of Amsterdam,887064364.0,-1,1985,27,6,0,1,0,0,808,1967.0,14.690909090909093,79537,1446.1272727272726,1177,21.4,1988.0,2,163,3,7.705882352941178,522.9411764705883,1985.0,18.0,63,0
35969,25492,25490,1,University of Amsterdam,887064364.0,-1,1985,7,4,0,1,0,0,2,1988.0,0.25,25,3.125,10,1.25,1988.0,2,163,3,7.705882352941178,522.9411764705883,1985.0,-3.0,0,0
35970,25493,10204,1,University of Amsterdam,887064364.0,-1,1987,27,5,0,1,0,0,808,1967.0,14.690909090909093,79537,1446.1272727272726,1177,21.4,2008.0,1,180,9,0.4615384615384616,20.30769230769231,1987.0,20.0,69,0
35971,25493,25490,1,University of Amsterdam,887064364.0,-1,1987,7,4,0,1,0,0,2,1988.0,0.25,25,3.125,10,1.25,2008.0,1,180,9,0.4615384615384616,20.30769230769231,1987.0,-1.0,1,0
35974,25496,25495,1,University of Amsterdam,887064364.0,-1,1994,1,1,0,0,0,0,6,1986.0,2.0,78,26.0,16,5.333333333333333,-1.0,0,0,0,0.0,0.0,1994.0,8.0,0,0
35975,25496,89100,1,University of Amsterdam,887064364.0,-1,1994,1,1,0,0,0,0,642,1983.0,16.46153846153846,112385,2881.666666666666,1576,40.4102564102564,-1.0,0,0,0,0.0,0.0,1994.0,11.0,62,0
35989,25291,13510,1,Laval University,43406934.0,1989,1992,2,2,1,-1,1,1,175,1983.0,4.729729729729732,16670,450.54054054054046,185,5.0,1993.0,29,1571,27,4.0,147.75862068965515,1992.0,9.0,35,4
35992,25505,3000,2,California Institute of Technology,122411786.0,1987,1990,43,2,3,-1,1,1,396,1970.0,7.615384615384616,104174,2003.3461538461536,797,15.326923076923075,1982.0,1,22,9,2.75,195.3,1982.0,20.0,31,4
36015,25521,3558,1,"State University of New York, Binghamton",,1979,1983,10,2,5,-1,1,1,81,1979.0,3.24,3237,129.48,76,3.04,-1.0,0,0,0,0.0,0.0,1983.0,4.0,32,0
36016,25522,25521,1,"State University of New York, Albany",392282.0,1984,1989,5,1,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,1987.0,7,501,6,1.75,125.25,1987.0,-1.0,0,0
36078,9816,25565,2,"University of California, Irvine",204250578.0,1977,1979,6,1,0,-1,1,0,239,1963.0,4.267857142857143,28118,502.1071428571428,301,5.375,1979.0,19,1384,24,5.512195121951219,222.12195121951214,1979.0,16.0,35,5
36079,9816,25566,1,"Hebrew University, Jerusalem",197251160.0,1972,1977,1,1,0,-1,1,0,209,1965.0,3.6666666666666665,8448,148.21052631578948,210,3.6842105263157885,1979.0,19,1384,24,5.512195121951219,222.12195121951214,1977.0,12.0,16,0
36083,25567,2049,1,University of Ottawa,153718931.0,-1,1984,11,1,1,-1,1,1,185,1969.0,3.5576923076923075,53851,1035.5961538461538,211,4.0576923076923075,1981.0,12,1169,13,2.189189189189189,198.1351351351352,1981.0,15.0,23,6
36102,25578,25579,2,University of Delaware,86501945.0,1982,1983,13,1,1,-1,1,1,191,1953.0,2.8507462686567164,30817,459.95522388059686,144,2.1492537313432845,1995.0,11,1067,14,3.9130434782608696,321.69565217391306,1983.0,30.0,17,0
36105,25581,1639,1,Rockefeller University,83399316.0,1990,1995,47,5,9,1,1,1,1241,1959.0,19.6984126984127,356591,5660.174603174603,1672,26.53968253968254,1991.0,17,10214,24,2.6451612903225805,872.0,1991.0,36.0,184,11
36106,25581,3374,0,Yale University,32971472.0,1987,1990,12,1,9,-1,1,1,161,1975.0,3.4255319148936163,16658,354.4255319148937,298,6.340425531914892,1991.0,17,10214,24,2.6451612903225805,872.0,1990.0,15.0,9,1
36202,25640,6368,1,Miami University (Ohio),83328450.0,1991,1995,4,2,1,-1,1,1,8,1967.0,0.1509433962264151,1791,33.79245283018868,8,0.1509433962264151,1994.0,5,277,11,5.428571428571429,187.35714285714286,1994.0,28.0,1,0
36256,25681,659,1,Brown University,27804330.0,1978,1983,15,3,2,-1,1,1,254,1953.0,3.681159420289855,38575,559.0579710144928,132,1.9130434782608696,1982.0,5,4642,4,1.475,137.9,1982.0,30.0,12,2
36265,25688,25689,2,"Department of Physiology, University of Bern",,1985,1987,5,4,9,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1958.0,2,10,4,2.296875,146.109375,1958.0,-1.0,0,0
36268,25688,25690,2,University of Maryland School of Medicine,126744593.0,1988,1990,7,1,10,-1,1,1,2,1996.0,0.1176470588235294,64,3.7647058823529416,7,0.4117647058823529,1958.0,2,10,4,2.296875,146.109375,1958.0,-6.0,0,0
36290,15039,15025,1,University of Pennsylvania,79576946.0,1981,1989,20,7,2,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1990.0,2,0,1,1.0769230769230769,70.61538461538461,1989.0,-1.0,0,0
36343,25745,10077,1,University of Amsterdam,887064364.0,-1,1992,8,3,6,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1987.0,19,1266,19,5.628571428571429,594.0285714285715,1987.0,-1.0,0,0
